scope,family,n_generated,n_valid,n_unique,n_not_in_training,n_joint_success,validity,uniqueness,novelty,joint_success_rate,diversity
all_proposals,all,21343,21343,15526,15516,8739,1.0,0.7274516234831092,0.9993559191034393,0.4094550906620438,0.8520929929051207
all_proposals,azo,8000,8000,6623,6622,3153,1.0,0.827875,0.9998490110221954,0.394125,0.8057705127988282
all_proposals,stilbene,8000,8000,5463,5459,5147,1.0,0.682875,0.9992678015742266,0.643375,0.7827240966844338
all_proposals,spiropyran,2976,2976,1218,1213,187,1.0,0.4092741935483871,0.9958949096880131,0.06283602150537634,0.640406085880314
all_proposals,diarylethene,2367,2367,2328,2325,252,1.0,0.9835234474017744,0.9987113402061856,0.10646387832699619,0.8713845329459833
top_1000,all,1000,1000,1000,1000,931,1.0,1.0,1.0,0.931,0.8145431625877309
top_1000,azo,250,250,250,250,250,1.0,1.0,1.0,1.0,0.733832930197894
top_1000,stilbene,250,250,250,250,250,1.0,1.0,1.0,1.0,0.5190692112201495
top_1000,spiropyran,250,250,250,250,187,1.0,1.0,1.0,0.748,0.5026360904881177
top_1000,diarylethene,250,250,250,250,244,1.0,1.0,1.0,0.976,0.4594354828775693
