step,azo_reward,stilbene_reward,spiropyran_reward,diarylethene_reward,mean_reward,archive
1,0.0412638895213604,0.0,0.006277581676840782,0.0,0.011885368265211582,13
2,0.08633285760879517,0.0,0.006643784698098898,0.0,0.023244163021445274,36
3,0.07977906614542007,0.0,0.00728335976600647,0.0,0.021765610203146935,58
4,0.10365090519189835,0.004373510833829641,0.005585379898548126,0.0,0.028402453288435936,85
5,0.08118417859077454,0.0,0.010240050964057446,0.0,0.022856054827570915,104
6,0.09624799340963364,0.0,0.016606058925390244,0.0,0.028213510289788246,127
7,0.09271510690450668,0.0,0.00610097823664546,0.0,0.024704022333025932,151
8,0.08802682161331177,0.0038266254123300314,0.005605760961771011,0.0,0.02436480112373829,173
9,0.11430229991674423,0.004345937166363001,0.015080266632139683,0.0,0.03343212604522705,202
10,0.12863188982009888,0.0,0.02694188617169857,0.0,0.0388934426009655,237
11,0.11349338293075562,0.00737633416429162,0.016213664785027504,0.0,0.03427084907889366,267
12,0.1036597192287445,0.0,0.015230837278068066,0.0,0.02972264401614666,291
13,0.11413267999887466,0.0066249738447368145,0.02501966990530491,0.0,0.03644433245062828,322
14,0.11841725558042526,0.0,0.021416418254375458,0.0,0.03495841845870018,351
15,0.1350301057100296,0.00350884348154068,0.020023977383971214,0.0,0.03964073210954666,384
16,0.15169012546539307,0.004312913399189711,0.014492710120975971,0.0,0.042623937129974365,422
17,0.13599683344364166,0.012841914780437946,0.011528823524713516,0.0,0.04009189084172249,456
18,0.16716158390045166,0.0,0.018505634739995003,0.0,0.04641680046916008,495
19,0.12903127074241638,0.0,0.02469428814947605,0.0,0.03843139111995697,525
20,0.15156853199005127,0.008092855103313923,0.030642854049801826,0.0,0.04757605865597725,564
21,0.14925940334796906,0.0,0.025994354858994484,0.0,0.04381344094872475,599
22,0.13496911525726318,0.012717495672404766,0.02072484977543354,0.0,0.042102862149477005,632
23,0.1638857126235962,0.0123421810567379,0.015146691352128983,0.0063270460814237595,0.049425408244132996,676
24,0.14510969817638397,0.003782885381951928,0.02915145456790924,0.0,0.04451100900769234,711
25,0.14652962982654572,0.011124487034976482,0.027405763044953346,0.0,0.046264972537755966,749
26,0.14606048166751862,0.005114257335662842,0.024714956060051918,0.0,0.043972428888082504,785
27,0.1442037671804428,0.0,0.020626336336135864,0.0,0.04120752587914467,819
28,0.16422252357006073,0.015645375475287437,0.020364878699183464,0.0,0.050058189779520035,862
29,0.147144615650177,0.009094185195863247,0.025005921721458435,0.0,0.045311179012060165,899
30,0.13593322038650513,0.016674360260367393,0.03765508159995079,0.0,0.04756566882133484,940
31,0.17366528511047363,0.006941193714737892,0.025733595713973045,0.0,0.05158501863479614,982
32,0.15141797065734863,0.013192783109843731,0.032427653670310974,0.0,0.04925960674881935,1020
33,0.16430158913135529,0.03079846501350403,0.024522149935364723,0.0,0.05490554869174957,1067
34,0.16480518877506256,0.00981952715665102,0.0229074414819479,0.0,0.04938303306698799,1107
35,0.16700899600982666,0.020931193605065346,0.031212538480758667,0.0,0.05478817597031593,1150
36,0.1584562063217163,0.04041178897023201,0.031247546896338463,0.0,0.05752888694405556,1193
37,0.15388496220111847,0.014399697072803974,0.03154153749346733,0.0,0.0499565489590168,1232
38,0.1639188528060913,0.023939013481140137,0.032909657806158066,0.0,0.05519188567996025,1275
39,0.1526748090982437,0.030339239165186882,0.03407692536711693,0.0,0.054272741079330444,1314
40,0.1711466759443283,0.020721325650811195,0.03418755158782005,0.0,0.05651388689875603,1358
41,0.16859376430511475,0.04258136451244354,0.03213128075003624,0.0,0.06082660332322121,1405
42,0.15311722457408905,0.03571291267871857,0.029778117313981056,0.001265409286133945,0.054968420416116714,1445
43,0.14779353141784668,0.047148749232292175,0.02169319987297058,0.0,0.05415886640548706,1489
44,0.16567610204219818,0.045862287282943726,0.03666108846664429,0.0,0.06204986944794655,1534
45,0.1277276873588562,0.04790877923369408,0.03081391006708145,0.0,0.05161258950829506,1572
46,0.15444323420524597,0.03618266433477402,0.03133048489689827,0.0,0.05548909679055214,1614
47,0.13924312591552734,0.05376593396067619,0.03203481063246727,0.0,0.056260962039232254,1654
48,0.17066335678100586,0.047110021114349365,0.029904693365097046,0.0,0.061919521540403366,1703
49,0.15884150564670563,0.05448676273226738,0.035040825605392456,0.0,0.06209227070212364,1750
50,0.14005185663700104,0.05749388411641121,0.03235302492976189,0.0,0.05747469142079353,1791
51,0.15863321721553802,0.0546274296939373,0.03626539930701256,0.006621388718485832,0.06403685361146927,1838
52,0.14043687283992767,0.06863641738891602,0.026277905330061913,0.0,0.05883780121803284,1882
53,0.1667681485414505,0.08190339058637619,0.02696474827826023,0.0,0.06890907138586044,1931
54,0.19306552410125732,0.12195386737585068,0.040894970297813416,0.0,0.08897858113050461,1994
55,0.16358143091201782,0.13606499135494232,0.037553396075963974,0.0,0.0842999592423439,2049
56,0.15291787683963776,0.09717277437448502,0.029795749112963676,0.0,0.06997159868478775,2097
